"gene set","p-value","fdr"
"Tyrosine metabolism","0.0019819291036396      .","0.0440642239364145      ."
"Fatty acid degradation","0.00246159388104225      .","0.0440642239364145      ."
"Enzyme - Class I","0.00246159388104225      .","0.0440642239364145      ."
"alpha-Linolenic acid metabolism","0.00273882505596267      .","0.0440642239364145      ."
"Phenylalanine metabolism","0.00273882505596267      .","0.0440642239364145      ."
"Other amino acids metabolism - Glutathione metabolism","0.00273882505596267      .","0.0440642239364145      ."
"Isoquinoline alkaloid biosynthesis","0.00304393602779934      .","0.0440642239364145      ."
"Amino acid metabolism - Tyrosine metabolism","0.00304393602779934      .","0.0440642239364145      ."
"Biosynthesis of secondary metabolism - Auxin biosynthesis","0.00304393602779934      .","0.0440642239364145      ."
"Transcription factors - GNAT","0.00304393602779934      .","0.0440642239364145      ."
"Arginine and proline metabolism","0.0033793310548187      .","0.0440642239364145      ."
"beta-Alanine metabolism","0.0033793310548187      .","0.0440642239364145      ."
"Pantothenate and CoA biosynthesis","0.0033793310548187      .","0.0440642239364145      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.0033793310548187      .","0.0440642239364145      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.0033793310548187      .","0.0440642239364145      ."
"Lipid metabolism - Glycerolipid metabolism","0.0033793310548187      .","0.0440642239364145      ."
"Lysine degradation","0.00374757740125249      .","0.0440642239364145      ."
"Tryptophan metabolism","0.00374757740125249      .","0.0440642239364145      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.00415141179898393      .","0.0440642239364145      ."
"Carbohydrate metabolism - Citrate cycle","0.00415141179898393      .","0.0440642239364145      ."
"Energy metabolism - Reductive carboxylate cycle","0.00415141179898393      .","0.0440642239364145      ."
"Pores ion channels [TC:1]","0.00459374669684048      .","0.0440642239364145      ."
"Carbohydrate metabolism - Galactose metabolism","0.00459374669684048      .","0.0440642239364145      ."
"Galactose metabolism","0.00507767623790656      .","0.0440642239364145      ."
"Glycolysis / Gluconeogenesis","0.00507767623790656      .","0.0440642239364145      ."
"Lipid metabolism - Fatty acid metabolism","0.00507767623790656      .","0.0440642239364145      ."
