"gene set","p-value","fdr"
"MAPK signaling pathway - plant","0.00560648190154704      .","0.444138241222945      ."
"Channel - Cyclic nucleotide-gated channel (CNG)","0.00560648190154704      .","0.444138241222945      ."
"Protein - Small GTPases and associated proteins","0.00824293176298429      .","0.444138241222945      ."
"Kinase - CDPK family","0.00905223527977801      .","0.444138241222945      ."
"Transcription factors - FHA","0.00993029407135899      .","0.444138241222945      ."
"Transcription factors - C2H2","0.0119117206769826      .","0.444138241222945      ."
"Plant-pathogen interaction","0.0142274105006364      .","0.444138241222945      ."
"Signal transduction - Calcium signaling pathway","0.0142274105006364      .","0.444138241222945      ."
"Protein - VAMP, Ykt6, Sec22 (R)","0.0155240819434818      .","0.444138241222945      ."
"Ribosome biogenesis - Pre-40S particles","0.0184238141352334      .","0.444138241222945      ."
"Carbohydrate metabolism - Aminosugars metabolism","0.0184238141352334      .","0.444138241222945      ."
"Plant specific signaling - Plant-pathogen interaction","0.0184238141352334      .","0.444138241222945      ."
"Replication and repair - RNA degradation","0.0184238141352334      .","0.444138241222945      ."
"Transcription factors - WRKY","0.0200389541064011      .","0.444138241222945      ."
"Sulfur relay system","0.0256217368452469      .","0.444138241222945      ."
"Transcription factors - NAC","0.0256217368452469      .","0.444138241222945      ."
"Enzyme - Class II (C/G)","0.0324515211035261      .","0.444138241222945      ."
"Ubiquitin system - Single Ring-finger type E3","0.0324515211035261      .","0.444138241222945      ."
"Transcription factors - HSF","0.0324515211035261      .","0.444138241222945      ."
"Plant hormone signal transduction","0.0350377692966706      .","0.444138241222945      ."
"RNA degradation","0.0350377692966706      .","0.444138241222945      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.0350377692966706      .","0.444138241222945      ."
"Ubiquitin system - UBL-specific proteases (ULPs)","0.0350377692966706      .","0.444138241222945      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.0350377692966706      .","0.444138241222945      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.0350377692966706      .","0.444138241222945      ."
"Hormone signaling - Jasmonate signaling","0.0350377692966706      .","0.444138241222945      ."
"Transcription factors - PHD","0.0377907990995178      .","0.444138241222945      ."
"Protein - SNAP-25[C] (Qc)","0.0407178795524944      .","0.444138241222945      ."
"Ribosome biogenesis - 90S particles","0.0407178795524944      .","0.444138241222945      ."
"Ubiquitin system - Multi subunit Ring-finger type E3","0.0407178795524944      .","0.444138241222945      ."
"Ubiquitin system - Ubiquitin-specific proteases (UBPs)","0.0407178795524944      .","0.444138241222945      ."
"Transcription factors - C3H","0.0407178795524944      .","0.444138241222945      ."
"Replication and repair - Mismatch repair","0.0438263120463228      .","0.444138241222945      ."
"Transcription factors - SNF2","0.0438263120463228      .","0.444138241222945      ."
"SNARE interactions in vesicular transport","0.0471234054835504      .","0.444138241222945      ."
"Mitochondrial respiratory chain complex assembly factors","0.0471234054835504      .","0.444138241222945      ."
"RNA polymerase II system","0.0471234054835504      .","0.444138241222945      ."
"Plant specific signaling - Circadian rhythm","0.0471234054835504      .","0.444138241222945      ."
"Chaperone - HSP40 / DNAJ","0.0506164498649696      .","0.610444268895012      ."
"Protein - Syntaxin (Qa)","0.0506164498649696      .","0.610444268895012      ."
"Transcription factors - Other transcription factors","0.0506164498649696      .","0.610444268895012      ."
"Transcription factors - MADS","0.0506164498649696      .","0.610444268895012      ."
"Circadian rhythm - plant","0.0543126883661862      .","0.610444268895012      ."
"Transcription factors - Helix-turn-helix","0.058219287984645      .","0.610444268895012      ."
"Transcription factors - HMG","0.058219287984645      .","0.610444268895012      ."
"Transcription factors - SET PCG","0.0623433088526888      .","0.610444268895012      ."
"Transcription factors - ZIM","0.0623433088526888      .","0.610444268895012      ."
"Transport and catabolism - Regulation of autophagy","0.0623433088526888      .","0.610444268895012      ."
"Zeatin biosynthesis","0.0666916723275726      .","0.610444268895012      ."
"Ribosome biogenesis - Pre-60S particles","0.0666916723275726      .","0.610444268895012      ."
"Transport system - Nuclear pore complex","0.0666916723275726      .","0.610444268895012      ."
"Homologous recombination","0.0712711279846311      .","0.610444268895012      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.0712711279846311      .","0.610444268895012      ."
"Enzyme - 2.3  Acyltransferases","0.0760882196548612      .","0.610444268895012      ."
"Basal transcription factors","0.0811492506628545      .","0.610444268895012      ."
"Enzyme - 1.5  Acting on the CH-NH group of donors","0.0811492506628545      .","0.610444268895012      ."
