"gene set","p-value","fdr"
"Butanoate metabolism","0.00824293176298429      .","0.483548467926963      ."
"GTP-binding proteins - Rab Family","0.00905223527977801      .","0.483548467926963      ."
"Secretion system - Eukaryotic Sec-SRP protein","0.0108818159918384      .","0.483548467926963      ."
"Carbohydrate metabolism - Butanoate metabolism","0.0108818159918384      .","0.483548467926963      ."
"Ascorbate and aldarate metabolism","0.0119117206769826      .","0.483548467926963      ."
"Cofactors and vitamin metabolism - Vitamin B6 metabolism","0.0119117206769826      .","0.483548467926963      ."
"Proteasome - Assembling factors","0.0169209015375587      .","0.483548467926963      ."
"Exosome - Proteins found in most exosomes","0.0200389541064011      .","0.483548467926963      ."
"Protein - Chaperone mediated autophagy (CMA)","0.0200389541064011      .","0.483548467926963      ."
"Transporter catalog - Primary active transporter cat D1","0.0200389541064011      .","0.483548467926963      ."
"Chaperone - Peptidyl prolyl isomerase","0.0217726369020214      .","0.483548467926963      ."
"Transcription factors - ABI3VP1","0.0236313490947351      .","0.483548467926963      ."
"Stilbenoid diarylheptanoid and gingerol biosynthesis","0.0256217368452469      .","0.483548467926963      ."
"Ribosome biogenesis - Other ribosome biogenesis factors","0.0256217368452469      .","0.483548467926963      ."
"Chaperone - HSP70 / DNAK","0.0300248410427652      .","0.483548467926963      ."
"Endoplasmic reticulum membrane and cytosol","0.0300248410427652      .","0.483548467926963      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.0300248410427652      .","0.483548467926963      ."
"Energy metabolism - Methane metabolism","0.0300248410427652      .","0.483548467926963      ."
"Transcription factors - C2C2-DOF","0.0300248410427652      .","0.483548467926963      ."
"Plant-pathogen interaction","0.0324515211035261      .","0.483548467926963      ."
"Enzyme - 5.2  cis-trans-Isomerases","0.0324515211035261      .","0.483548467926963      ."
"Lipid metabolism - Glycerolipid metabolism","0.0324515211035261      .","0.483548467926963      ."
"Transcription factors - SWIB","0.0324515211035261      .","0.483548467926963      ."
"Chaperone - Protein disulfide isomerase","0.0350377692966706      .","0.483548467926963      ."
"Energy metabolism - Nitrogen metabolism","0.0350377692966706      .","0.483548467926963      ."
"Transcription factors - AP2 EREBP","0.0377907990995178      .","0.483548467926963      ."
"Transcription factors - GNAT","0.0377907990995178      .","0.483548467926963      ."
"Vitamin B6 metabolism","0.0407178795524944      .","0.519598474118724      ."
"Transcription factors - BZIP","0.0407178795524944      .","0.519598474118724      ."
"Transcription factors - G2-like","0.0407178795524944      .","0.519598474118724      ."
"Enzyme - 1.8  Acting on a sulfur group of donors","0.0438263120463228      .","0.519598474118724      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.0438263120463228      .","0.519598474118724      ."
"Nitrogen metabolism","0.0471234054835504      .","0.519598474118724      ."
"Phenylpropanoid biosynthesis","0.0471234054835504      .","0.519598474118724      ."
"Glutathione metabolism","0.0506164498649696      .","0.519598474118724      ."
"Cysteine and methionine metabolism","0.0543126883661862      .","0.519598474118724      ."
"Enzyme - 1.1  Acting on the CH-OH group of donors","0.0543126883661862      .","0.519598474118724      ."
"Amino acid metabolism - Methionine metabolism","0.0543126883661862      .","0.519598474118724      ."
"Pores ion channels [TC:1]","0.058219287984645      .","0.668566379577841      ."
"Energy metabolism - Oxidative phosphorylation","0.058219287984645      .","0.668566379577841      ."
"Other metabolism - Single reactions","0.058219287984645      .","0.668566379577841      ."
"Transcription factors - MYB","0.058219287984645      .","0.668566379577841      ."
"beta-Alanine metabolism","0.0623433088526888      .","0.668566379577841      ."
"Enzyme - 5.1  Racemases and epimerases","0.0623433088526888      .","0.668566379577841      ."
"Riboflavin metabolism","0.0666916723275726      .","0.668566379577841      ."
"Transcription factors - Orphans zf-b box","0.0712711279846311      .","0.668566379577841      ."
"RNA polymerase I system","0.0760882196548612      .","0.668566379577841      ."
"Arginine and proline metabolism","0.0811492506628545      .","0.668566379577841      ."
"Histidine metabolism","0.0864602484351567      .","0.668566379577841      ."
"Pyruvate metabolism","0.0864602484351567      .","0.668566379577841      ."
"Transcription factors - Other transcription factors","0.0864602484351567      .","0.668566379577841      ."
"Nicotinate and nicotinamide metabolism","0.0920269286625526      .","0.668566379577841      ."
"Lipid metabolism - C21-Steroid hormone metabolism","0.0920269286625526      .","0.668566379577841      ."
"Transcription factors - ZIM","0.0920269286625526      .","0.668566379577841      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.0978546592123271      .","0.668566379577841      ."
"Protein - Other autophagy associated proteins","0.103948423998055      .","0.668566379577841      ."
"Other amino acids metabolism - Glutathione metabolism","0.103948423998055      .","0.668566379577841      ."
"Transcription factors - GRAS","0.103948423998055      .","0.668566379577841      ."
"Cyanoamino acid metabolism","0.110312787024768      .","0.668566379577841      ."
"Glycerolipid metabolism","0.110312787024768      .","0.668566379577841      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.110312787024768      .","0.668566379577841      ."
"U4/U6.U5 tri-snRNP components","0.110312787024768      .","0.668566379577841      ."
"Transcription factors - Trihelix","0.110312787024768      .","0.668566379577841      ."
"ABC transporters","0.116951856836283      .","0.668566379577841      ."
"Folate biosynthesis","0.116951856836283      .","0.668566379577841      ."
