"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi06g01713",1,"Vitvi06g01713","",1.63658227862765,1.52499165597832,5.75860486992046,-1.62165166181265,0.769716505692798,9.10300898340884,"5.24247312227999e-13      .","5 x 1"," ",""
"Vitvi05g00204",2,"Vitvi05g00204","Vitvi05g00204",1.88989655216217,2.30166016081573,5.7199507583336,-1.87724223914716,0.859292939849076,12.6837249792064,"0      .","4 x 1","5 ","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi15g00835",3,"Vitvi15g00835","Vitvi15g00835",1.39759925727829,1.80034011172164,5.62546156421187,-1.39759925727829,0.802361878698308,10.1496568486615,"1.08801856413265e-14      .","5 x 1","15 ","Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."
"Vitvi09g01554",4,"Vitvi09g01554","",1.36438827759866,1.58055514338893,5.60095920253265,-1.36438827759866,0.778690094930625,9.37025714001287,"1.92956761679852e-13      .","4 x 3"," ",""
"Vitvi05g00170",5,"Vitvi05g00170","Vitvi05g00170",2.57000486144656,2.42349599495939,5.27497615349905,-2.54488551766165,0.911153062850063,16.6939766392283,"0      .","3 x 1","5 ","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi18g00353",6,"Vitvi18g00353","Vitvi18g00353",1.86578141856098,1.4963421792925,5.24471293724328,-1.86578141856098,0.432265569343424,3.61912580514664,"0.000314365918761772      .","5 x 6","18 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi06g01917",7,"Vitvi06g01917","Vitvi06g01917",2.58387626091451,1.79986137805488,5.23199316441384,-2.50491198425663,0.741911689102623,8.35396029949429,"8.90287843446913e-12      .","4 x 3","6 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi18g03065",8,"Vitvi18g03065","",1.04368962085323,1.46860628575363,5.12250465117007,-1.04368962085323,0.749314433613967,8.54285276805193,"4.34252633851884e-12      .","4 x 4"," ",""
"Vitvi06g01280",9,"Vitvi06g01280","",1.77457995241524,1.69002975003717,5.0914284999211,-1.76992282638632,0.826366988484363,11.0789911222134,"4.44089209850063e-16      .","4 x 2"," ",""
"Vitvi02g01405",10,"Vitvi02g01405","Vitvi02g01405",1.78681312714648,1.24491934482954,5.05005601082726,-1.63286635773904,0.638988245414279,6.2716484444729,"2.57184896712559e-08      .","4 x 6","2 ","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"Vitvi15g00770",11,"Vitvi15g00770","Vitvi15g00770",1.57333401975791,1.69486890255861,4.96496982453313,-1.57333401975791,0.578627472843872,5.35628332041587,"7.92562069418246e-07      .","5 x 4","15 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi06g00666",12,"Vitvi06g00666","Vitvi06g00666",3.52407293988003,2.27768763678311,4.89438849192633,-3.03856951777347,0.474196137847977,4.06636089183809,"7.41127958503451e-05      .","1 x 1","6 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g01408",13,"Vitvi02g01408","Vitvi02g01408",3.89033016639148,1.57416608732003,4.81472186095865,-2.05560720861166,0.764400380108347,8.9510185699447,"9.28146448586631e-13      .","4 x 3","2 ","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"Vitvi04g01907",14,"Vitvi04g01907","Vitvi04g01907",0.893627911278571,1.43001714515756,4.78950230502198,-0.893627911278571,0.749466519818952,8.5468082625025,"4.27791135848565e-12      .","5 x 3","4 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi00g00932",15,"Vitvi00g00932","",1.37498297657433,1.22799908916921,4.77031181741228,-1.23081946081113,0.658456768235537,6.60525783177266,"7.21373405454528e-09      .","4 x 4"," ",""
"Vitvi02g01747",16,"Vitvi02g01747","",1.37468716746504,1.22775420632305,4.76841071690044,-1.23052365170185,0.658467659882177,6.60545072388148,"7.20841897283719e-09      .","4 x 4"," ",""
"Vitvi16g01321",17,"Vitvi16g01321","",0.996886082327617,1.18835226745799,4.69998404093921,-0.996886082327617,0.528966474811095,4.70587822895446,"8.27339296982643e-06      .","6 x 5"," ",""
"Vitvi15g00960",18,"Vitvi15g00960","Vitvi15g00960",1.97615133936275,2.01320192838567,4.64557646967393,-1.97615133936275,0.888207164595943,14.5955307962013,"0      .","4 x 1","15 ","Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule."
"Vitvi19g02038",19,"Vitvi19g02038","Vitvi19g02038",0.571102810988671,1.11277094240528,4.54682265186311,-0.571102810988671,0.612347169944426,5.84769056583033,"1.2756584544249e-07      .","6 x 4","19 ",""
"Vitvi05g00643",20,"Vitvi05g00643","Vitvi05g00643",1.08595243505431,1.07182354960745,4.54155712476349,-1.08595243505431,0.617845989026136,5.93239226699164,"9.27837144892862e-08      .","5 x 5","5 ","Catalysis of the hydrolysis of any ester bond."
"Vitvi17g00819",21,"Vitvi17g00819","Vitvi17g00819",0.910895195955471,1.38913460621268,4.4662382095978,-0.910895195955471,0.632504302957857,6.16520633101701,"3.85132177260772e-08      .","5 x 2","17 ","Binding to a zinc ion (Zn)."
"Vitvi04g01685",22,"Vitvi04g01685","Vitvi04g01685",1.09658821902139,1.25855993409565,4.42967641889485,-1.08393390600638,0.734562895363584,8.17317077370426,"1.77331482831278e-11      .","4 x 1","4 ",""
"Vitvi18g01263",23,"Vitvi18g01263","",0.898090838225883,1.16382606120797,4.34272972947893,-0.898090838225883,0.787552056026553,9.64852846178236,"6.86117829218347e-14      .","5 x 4"," ",""
"Vitvi05g00483",24,"Vitvi05g00483","Vitvi05g00483",1.40749677755405,1.39600230246285,4.32402640464543,-1.40524882974442,0.593124345438491,5.56195523107846,"3.70705240615443e-07      .","4 x 6","5 ","Binding to a copper (Cu) ion."
"Vitvi18g00108",25,"Vitvi18g00108","Vitvi18g00108",2.25923762100794,1.3858294447214,4.27906622328309,-2.25923762100794,0.667785473911482,6.77321705293884,"3.79432285591008e-09      .","4 x 5","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi11g00900",26,"Vitvi11g00900","Vitvi11g00900",1.53474803724401,1.4112229266625,4.27097694665669,-1.53474803724401,0.636898705084135,6.23710409460298,"2.93228079595309e-08      .","6 x 2","11 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi06g01762",27,"Vitvi06g01762","Vitvi06g01762",1.95889790637542,1.82438892098936,4.20729636564788,-1.9542407803465,0.901695217439473,15.7448821183983,"0      .","3 x 1","6 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi09g00500",28,"Vitvi09g00500","Vitvi09g00500",1.70228723816093,1.42672167701634,4.2011064412701,-1.70228723816093,0.657210316335749,6.58323129931471,"7.84706477574559e-09      .","3 x 6","9 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
