"gene set","p-value","fdr"
"Mitophagy factors","0.0019819291036396      .","0.0680084550201734      ."
"Protein - Clathrin-mediated endocytosis","0.0019819291036396      .","0.0680084550201734      ."
"Endoplasmic reticulum membrane and cytosol","0.0033793310548187      .","0.0680084550201734      ."
"Chaperone - HSP70 / DNAK","0.00374757740125249      .","0.0680084550201734      ."
"Proteasome - Assembling factors","0.00374757740125249      .","0.0680084550201734      ."
"Protein - Other autophagy associated proteins","0.00374757740125249      .","0.0680084550201734      ."
"Valine leucine and isoleucine biosynthesis","0.00415141179898393      .","0.0680084550201734      ."
"Chaperone - HSP20","0.00415141179898393      .","0.0680084550201734      ."
"Endocytosis","0.00459374669684048      .","0.0680084550201734      ."
"Electrochemical potential-driven transporters [TC:2]","0.00459374669684048      .","0.0680084550201734      ."
"Exosome - Proteins found in most exosomes","0.00459374669684048      .","0.0680084550201734      ."
"Protein - Chaperone mediated autophagy (CMA)","0.00459374669684048      .","0.0680084550201734      ."
"Enzyme - 1.2  Acting on the aldehyde or oxo group of donors","0.00507767623790656      .","0.0680084550201734      ."
"Enzyme - 3.1  Acting on ester bonds","0.00507767623790656      .","0.0680084550201734      ."
"Ascorbate and aldarate metabolism","0.00560648190154704      .","0.0680084550201734      ."
"Enzyme - 3.6  Acting on acid anhydrides","0.00560648190154704      .","0.0680084550201734      ."
"Enzyme - 5.1  Racemases and epimerases","0.00560648190154704      .","0.0680084550201734      ."
"Other amino acids metabolism - Beta-alanine metabolism","0.00560648190154704      .","0.0680084550201734      ."
"Protein processing in endoplasmic reticulum","0.00618363774330392      .","0.0680084550201734      ."
"Pyruvate metabolism","0.00618363774330392      .","0.0680084550201734      ."
"Regulator of mitochondrial biogenesis","0.00618363774330392      .","0.0680084550201734      ."
"Carbohydrate metabolism - Propanoate metabolism","0.00618363774330392      .","0.0680084550201734      ."
"Histidine metabolism","0.00681281516254892      .","0.0680084550201734      ."
"Lysine degradation","0.00681281516254892      .","0.0680084550201734      ."
"Viral life cycle - HIV-1","0.00681281516254892      .","0.0680084550201734      ."
"Translation - mRNA surveillance pathway","0.00681281516254892      .","0.0680084550201734      ."
"Arginine and proline metabolism","0.00824293176298429      .","0.0680084550201734      ."
"Nicotinate and nicotinamide metabolism","0.00824293176298429      .","0.0680084550201734      ."
"Mitochondrial dynamics","0.00824293176298429      .","0.0680084550201734      ."
"SLC25: Mitochondrial carrier","0.00824293176298429      .","0.0680084550201734      ."
"Transcription factors - HSF","0.00824293176298429      .","0.0680084550201734      ."
"Galactose metabolism","0.00905223527977801      .","0.0680084550201734      ."
"Spliceosome","0.00905223527977801      .","0.0680084550201734      ."
"Enzyme - Class I","0.00905223527977801      .","0.0680084550201734      ."
"Hormone signaling - Ethylene signaling","0.00905223527977801      .","0.0680084550201734      ."
"Glycolysis / Gluconeogenesis","0.00993029407135899      .","0.0853437528615528      ."
"Sugar transporters","0.00993029407135899      .","0.0853437528615528      ."
"Biosynthesis of secondary metabolism - Zeatin biosynthesis","0.00993029407135899      .","0.0853437528615528      ."
"Energy metabolism - Reductive carboxylate cycle","0.00993029407135899      .","0.0853437528615528      ."
"Membrane transport - ABC transporters","0.00993029407135899      .","0.0853437528615528      ."
"Transport system - Nuclear pore complex","0.00993029407135899      .","0.0853437528615528      ."
"mRNA surveillance pathway","0.0108818159918384      .","0.0853437528615528      ."
"Valine leucine and isoleucine degradation","0.0108818159918384      .","0.0853437528615528      ."
"Other components","0.0108818159918384      .","0.0853437528615528      ."
"Amino acid metabolism - Arginine and proline metabolism","0.0119117206769826      .","0.0853437528615528      ."
"Carbohydrate metabolism - Citrate cycle","0.0119117206769826      .","0.0853437528615528      ."
"Transcription factors - Basic leucine zipper (bZIP)","0.0130251388459607      .","0.0853437528615528      ."
"Transcription - Spliceosome","0.0130251388459607      .","0.0853437528615528      ."
"Transcription factors - G2-like","0.0130251388459607      .","0.0853437528615528      ."
"Transporter catalog - Porters cat 30 to 64","0.0130251388459607      .","0.0853437528615528      ."
"ABC transporters","0.0142274105006364      .","0.0853437528615528      ."
"Messenger RNA Biogenesis - mRNA processing factors","0.0142274105006364      .","0.0853437528615528      ."
"Amino acid metabolism - Alanine and aspartate metabolism","0.0142274105006364      .","0.0853437528615528      ."
"Nucleocytoplasmic transport","0.0155240819434818      .","0.0853437528615528      ."
"Chaperone - HSP40 / DNAJ","0.0155240819434818      .","0.0853437528615528      ."
"Receptor - Others","0.0155240819434818      .","0.0853437528615528      ."
"Signal transduction - Phosphatidylinositol signaling system","0.0155240819434818      .","0.0853437528615528      ."
"Alanine aspartate and glutamate metabolism","0.0169209015375587      .","0.140673322034382      ."
"Butanoate metabolism","0.0169209015375587      .","0.140673322034382      ."
"Folate biosynthesis","0.0169209015375587      .","0.140673322034382      ."
"N-Glycan biosynthesis","0.0169209015375587      .","0.140673322034382      ."
"Pantothenate and CoA biosynthesis","0.0169209015375587      .","0.140673322034382      ."
"Kinase - CAMKL family","0.0169209015375587      .","0.140673322034382      ."
"Carbohydrate metabolism - Galactose metabolism","0.0169209015375587      .","0.140673322034382      ."
"Transcription factors - BZIP","0.0184238141352334      .","0.140673322034382      ."
"Transporter catalog - Porters cat 66 to 94","0.0184238141352334      .","0.140673322034382      ."
"Vitamin B6 metabolism","0.0200389541064011      .","0.140673322034382      ."
"Transcription factors - AP2 EREBP","0.0200389541064011      .","0.140673322034382      ."
"Cysteine and methionine metabolism","0.0217726369020214      .","0.140673322034382      ."
"Cofactors and vitamin metabolism - Vitamin B6 metabolism","0.0217726369020214      .","0.140673322034382      ."
"Transcription factors - MYBrelated","0.0217726369020214      .","0.140673322034382      ."
"Transporter catalog - Porters cat 1 to 6","0.0217726369020214      .","0.140673322034382      ."
"Glycerolipid metabolism","0.0236313490947351      .","0.140673322034382      ."
"ABCG (White) subfamily","0.0236313490947351      .","0.140673322034382      ."
"Enzyme - 2.4  Glycosyltransferases","0.0236313490947351      .","0.140673322034382      ."
"Zeatin biosynthesis","0.0256217368452469      .","0.140673322034382      ."
"Peptidases and inhibitors - Family C1: papain family","0.0256217368452469      .","0.140673322034382      ."
"Signal transduction - Calcium signaling pathway","0.0256217368452469      .","0.140673322034382      ."
"beta-Alanine metabolism","0.0277505927510355      .","0.140673322034382      ."
"Riboflavin metabolism","0.0277505927510355      .","0.140673322034382      ."
"Tryptophan metabolism","0.0277505927510355      .","0.140673322034382      ."
"Enzyme - 1.6  Acting on NADH or NADPH","0.0277505927510355      .","0.140673322034382      ."
"Transcription factors - Other transcription factors","0.0277505927510355      .","0.140673322034382      ."
"Transcription factors - ZIM","0.0277505927510355      .","0.140673322034382      ."
"Glyoxylate and dicarboxylate metabolism","0.0300248410427652      .","0.140673322034382      ."
"Common spliceosomal components","0.0300248410427652      .","0.140673322034382      ."
"Enzyme - 7.1  Catalysing the translocation of hydrons","0.0300248410427652      .","0.140673322034382      ."
"Biosynthesis of secondary metabolism - ABA biosynthesis","0.0300248410427652      .","0.140673322034382      ."
"Carbohydrate metabolism - Butanoate metabolism","0.0300248410427652      .","0.140673322034382      ."
"Energy metabolism - Nitrogen metabolism","0.0300248410427652      .","0.140673322034382      ."
"Peroxisome","0.0324515211035261      .","0.214175184364007      ."
"SLC47: Multidrug and Toxin Extrusion (MATE) family","0.0324515211035261      .","0.214175184364007      ."
"Carbohydrate metabolism - Pyruvate metabolism","0.0324515211035261      .","0.214175184364007      ."
"Lipid metabolism - Glycerolipid metabolism","0.0324515211035261      .","0.214175184364007      ."
"Translation - RNA transport","0.0324515211035261      .","0.214175184364007      ."
"Protein - Tethering complex","0.0350377692966706      .","0.214175184364007      ."
"Ribosome biogenesis - Pre-60S particles","0.0350377692966706      .","0.214175184364007      ."
"Phosphatidylinositol signaling system","0.0377907990995178      .","0.276500202937985      ."
"Glycosyltransferase - Dol-linked oligosaccharide","0.0377907990995178      .","0.276500202937985      ."
"Pores ion channels [TC:1]","0.0377907990995178      .","0.276500202937985      ."
"Folding sorting degradation - Protein export","0.0377907990995178      .","0.276500202937985      ."
"Transporter catalog - Porters cat 18 to 29","0.0377907990995178      .","0.276500202937985      ."
"RNA degradation","0.0438263120463228      .","0.276500202937985      ."
"Tropane piperidine and pyridine alkaloid biosynthesis","0.0438263120463228      .","0.276500202937985      ."
"Protein - Arf GTPases and associated proteins","0.0471234054835504      .","0.276500202937985      ."
"Carbohydrate metabolism - Inositol phosphate metabolism","0.0471234054835504      .","0.276500202937985      ."
"Inositol phosphate metabolism","0.0506164498649696      .","0.276500202937985      ."
"Isoquinoline alkaloid biosynthesis","0.0506164498649696      .","0.276500202937985      ."
"Transcription factors - AS2","0.0506164498649696      .","0.276500202937985      ."
"Carbon fixation in photosynthetic organisms","0.0543126883661862      .","0.276500202937985      ."
"Linoleic acid metabolism","0.0543126883661862      .","0.276500202937985      ."
"RNA polymerase II system","0.0543126883661862      .","0.276500202937985      ."
"Transcription factors - Orphans zf-b box","0.0543126883661862      .","0.276500202937985      ."
"Transcription factors - WRKY","0.0543126883661862      .","0.276500202937985      ."
"Transport system - Tethering factors","0.0543126883661862      .","0.276500202937985      ."
"Fatty acid degradation","0.058219287984645      .","0.276500202937985      ."
"Protein - SNARE associated proteins","0.058219287984645      .","0.276500202937985      ."
"U4/U6.U5 tri-snRNP components","0.058219287984645      .","0.276500202937985      ."
"Hormone signaling - Jasmonate signaling","0.058219287984645      .","0.276500202937985      ."
"Transcription factors - C2C2-DOF","0.058219287984645      .","0.276500202937985      ."
"Glycine serine and threonine metabolism","0.0623433088526888      .","0.276500202937985      ."
"Messenger RNA Biogenesis - mRNA degradation factors","0.0623433088526888      .","0.276500202937985      ."
"SLC39: Metal ion transporter","0.0623433088526888      .","0.276500202937985      ."
"Signal transduction - mTOR signaling pathway","0.0623433088526888      .","0.276500202937985      ."
"Cofactors and vitamin metabolism - Folate biosynthesis","0.0666916723275726      .","0.276500202937985      ."
"Other amino acids metabolism - Glutathione metabolism","0.0666916723275726      .","0.276500202937985      ."
"Transcription factors - GRAS","0.0666916723275726      .","0.276500202937985      ."
"Transcription factors - Jumonji","0.0666916723275726      .","0.276500202937985      ."
"Transporter catalog - Porters cat 7 to 17","0.0666916723275726      .","0.276500202937985      ."
"Autophagy - other","0.0712711279846311      .","0.338150143212739      ."
"Glutathione metabolism","0.0712711279846311      .","0.338150143212739      ."
"Enzyme - 1.4  Acting on the CH-NH2 group of donors","0.0712711279846311      .","0.338150143212739      ."
"RNA polymerase III system","0.0712711279846311      .","0.338150143212739      ."
"Glycan biosynthesis and metabolism - N-Glycan biosynthesis","0.0712711279846311      .","0.338150143212739      ."
"Lipid metabolism - Fatty acid elongation in mitochondria","0.0712711279846311      .","0.338150143212739      ."
"Transcription factors - Other zf","0.0712711279846311      .","0.338150143212739      ."
"Propanoate metabolism","0.0760882196548612      .","0.473698925220389      ."
"Protein export","0.0760882196548612      .","0.473698925220389      ."
"Hormone signaling - ABA signaling","0.0760882196548612      .","0.473698925220389      ."
"Transport system - Protein coat","0.0760882196548612      .","0.473698925220389      ."
"Cytoskeleton - Actin filaments / Microfilaments","0.0811492506628545      .","0.889901515197137      ."
"Enzyme - 4.4  Carbon-sulfur lyases","0.0811492506628545      .","0.889901515197137      ."
